ETF,Omega
MRRL,0.4625451263537909
MORT,0.48869381804646533
MORL,0.49439075173249747
REM,0.5054004483391056
DRW,0.5885967446788031
TAO,0.5894489570656329
IFGL,0.624822134387354
VNQI,0.6298292622133589
IFEU,0.6416184971098293
ROOF,0.6980702309395737
WPS,0.7582471554476234
KBWY,0.8341349767022396
DRN,0.865441864421196
REK,0.8822816453298957
GQRE,0.8842995586023223
SRS,0.9106051883901858
LRET,0.910621658287445
DRV,0.9226650803093401
SRET,0.9286610004180036
RWX,0.9908702373374577
FFR,1.0090710566101095
REZ,1.0791717167567096
WREI,1.0867129460479839
URE,1.1453173739572013
FRI,1.147873396456929
GRI,1.2273576299900113
USRT,1.243388598345757
VNQ,1.264287221818358
RWO,1.3423877437887413
PRME,1.363142857142857
SCHH,1.4306295399515743
FREL,1.436726372506187
PSR,1.4472529858848981
EWRE,1.4495317377731551
IYR,1.462934014399256
RWR,1.4891843971631264
REET,1.6282161645145825
XLRE,1.6546912590216531
ICF,1.673975328292882
